tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	351	0	live	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4, APP	amyloid beta precursor protein	amyloid-beta precursor protein|alzheimer disease amyloid A4 protein homolog|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2	21q21.3	21	NC_000021.9	25880550	26171128	minus	20	104760	
9606	Homo sapiens	322	0	live	APBB1	FE65, MGC:9072, RIR	amyloid beta precursor protein binding family B member 1	amyloid beta precursor protein binding family B member 1|adaptor protein FE65a2|amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)|stat-like protein	11p15.4	11	NC_000011.10	6395124	6419453	minus	19	602709	
9606	Homo sapiens	56899	0	live	ANKS1B	AIDA, AIDA-1, ANKS2, EB-1, EB1, cajalin-2	ankyrin repeat and sterile alpha motif domain containing 1B	ankyrin repeat and sterile alpha motif domain-containing protein 1B|E2a-Pbx1-associated protein|amyloid-beta precursor protein intracellular domain associated protein 1|cajalin 2	12q23.1	12	NC_000012.12	98734786	99984936	minus	39	607815	
9606	Homo sapiens	321	0	live	APBA2	D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11-BETA, X11L	amyloid beta precursor protein binding family A member 2	amyloid-beta A4 precursor protein-binding family A member 2|X11-like protein|adapter protein X11beta|amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)|mint-2|neuron-specific X11L protein|neuronal munc18-1-interacting protein 2|phosphotyrosine-binding/-interacting domain (PTB)-bearing protein	15q13.1	15	NC_000015.10	28885974	29118315	plus	24	602712	
9606	Homo sapiens	323	0	live	APBB2	FE65L, FE65L1	amyloid beta precursor protein binding family B member 2	amyloid beta precursor protein binding family B member 2|Fe65-like 1|protein Fe65-like 1	4p14-p13	4	NC_000004.12	40810027	41214542	minus	22	602710	
9606	Homo sapiens	8883	0	live	NAE1	A-116A10.1, APPBP1, HPP1, NEDFIH, ula-1	NEDD8 activating enzyme E1 subunit 1	NEDD8-activating enzyme E1 regulatory subunit|APP-BP1|NEDD8-activating enzyme E1 subunit|amyloid beta precursor protein binding protein 1, 59kDa|amyloid beta precursor protein-binding protein 1, 59 kDa|amyloid beta precursor protein-binding protein 1, 59kD|amyloid protein-binding protein 1|proto-oncogene protein 1|protooncogene protein 1	16q22.1	16	NC_000016.10	66802878	66830976	minus	21	603385	
9606	Homo sapiens	320	0	live	APBA1	D9S411E, LIN10, MINT1, X11, X11A, X11ALPHA	amyloid beta precursor protein binding family A member 1	amyloid-beta A4 precursor protein-binding family A member 1|adapter protein X11alpha|adaptor protein X11alpha|amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)|mint-1|neuron-specific X11 protein|neuronal munc18-1-interacting protein 1|phosphotyrosine-binding/-interacting domain (PTB)-bearing protein	9q21.12	9	NC_000009.12	69427532	69673013	minus	15	602414	
9606	Homo sapiens	4137	0	live	MAPT	DDPAC, FTD1, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, Tau-PHF6, tau-40, MAPT	microtubule associated protein tau	microtubule-associated protein tau|G protein beta1/gamma2 subunit-interacting factor 1|PHF-tau|Tau-derived paired helical filament hexapeptide|neurofibrillary tangle protein|paired helical filament-tau|protein phosphatase 1, regulatory subunit 103	17q21.31	17	NC_000017.11	45894554	46028334	plus	16	157140	
9606	Homo sapiens	6622	0	live	SNCA	NACP, PARK1, PARK4, PD1	synuclein alpha	alpha-synuclein|I+/--synuclein|non A-beta component of AD amyloid|synuclein alpha-140|synuclein, alpha (non A4 component of amyloid precursor)	4q22.1	4	NC_000004.12	89724099	89838304	minus	12	163890	
9606	Homo sapiens	54518	0	live	APBB1IP	INAG1, PREL1, RARP1, RIAM	amyloid beta precursor protein binding family B member 1 interacting protein	amyloid beta A4 precursor protein-binding family B member 1-interacting protein|APBB1-interacting protein 1|MLLT10/APBB1IP reciprocal fusion|MLLT10/APBB1IP reciprocal fusion protein|PREL-1|RARP-1|Rap1-GTP-interacting adaptor molecule|Rap1-interacting adaptor molecule|proline rich EVH1 ligand 1|proline-rich protein 73|rap1-GTP-interacting adapter molecule|retinoic acid-responsive proline-rich protein 1	10p12.1	10	NC_000010.11	26438341	26567803	plus	15	609036	
9606	Homo sapiens	10513	0	live	APPBP2	APP-BP2, HS.84084, PAT1	amyloid beta precursor protein binding protein 2	amyloid protein-binding protein 2|amyloid beta precursor protein (cytoplasmic tail) binding protein 2|protein interacting with APP tail 1	17q23.2	17	NC_000017.11	60443158	60526242	minus	15	605324	
9606	Homo sapiens	9546	0	live	APBA3	MGC:15815, X11L2, mint3	amyloid beta precursor protein binding family A member 3	amyloid-beta A4 precursor protein-binding family A member 3|X11-like 2 protein|adapter protein X11gamma|amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)|mint-3|neuron-specific X11L2 protein|neuronal munc18-1-interacting protein 3|phosphotyrosine-binding/-interacting domain (PTB)-bearing protein	19p13.3	19	NC_000019.10	3750772	3761692	minus	10	604262	
9606	Homo sapiens	2932	0	live	GSK3B		glycogen synthase kinase 3 beta	glycogen synthase kinase-3 beta|GSK-3 beta|serine/threonine-protein kinase GSK3B	3q13.33	3	NC_000003.12	119821321	120094447	minus	12	605004	
9606	Homo sapiens	10307	0	live	APBB3	FE65L2, SRA	amyloid beta precursor protein binding family B member 3	amyloid-beta A4 precursor protein-binding family B member 3|FE65-like protein 2|amyloid beta (A4) precursor protein-binding, family B, member 3|amyloid precursor interacting protein|protein Fe65-like 2	5q31.3	5	NC_000005.10	140558268	140564598	minus	13	602711	
9606	Homo sapiens	5663	0	live	PSEN1	ACNINV3, AD3, CMD1U, FAD, PS-1, PS1, PSNL1, S182	presenilin 1	presenilin-1|familial Alzheimer Disease	14q24.2	14	NC_000014.9	73136417	73223691	plus	13	104311	
9606	Homo sapiens	1471	0	live	CST3	ADLDWA, ARMD11, HEL-S-2	cystatin C	cystatin-C|bA218C14.4 (cystatin C)|cystatin 3|epididymis secretory protein Li 2|gamma-trace|neuroendocrine basic polypeptide|post-gamma-globulin	20p11.21	20	NC_000020.11	23626706	23637955	minus	4	604312	
9606	Homo sapiens	23621	0	live	BACE1	ASP2, BACE, HSPC104	beta-secretase 1	beta-secretase 1|APP beta-secretase|asp 2|aspartyl protease 2|beta-site APP cleaving enzyme 1|beta-site APP-cleaving enzyme|beta-site amyloid beta A4 precursor protein-cleaving enzyme|memapsin-2|membrane-associated aspartic protease 2|transmembrane aspartic proteinase Asp2	11q23.3	11	NC_000011.10	117285698	117316256	minus	11	604252	
9606	Homo sapiens	10855	0	live	HPSE	HPA, HPA1, HPR11, HSE1, HPSE	heparanase	heparanase|endo-glucoronidase|heparanase-1	4q21.23	4	NC_000004.12	83292461	83335153	minus	13	604724	
9606	Homo sapiens	4323	0	live	MMP14	MMP-14, MMP-X1, MT-MMP, MT-MMP 1, MT1-MMP, MT1MMP, MTMMP1, WNCHRS	matrix metallopeptidase 14	matrix metalloproteinase-14|matrix metallopeptidase 14 (membrane-inserted)|membrane type 1 metalloprotease|membrane-type-1 matrix metalloproteinase	14q11.2	14	NC_000014.9	22836585	22847758	plus	10	600754	
9606	Homo sapiens	10419	0	live	PRMT5	HRMT1L5, HSL7, IBP72, JBP1, SKB1, SKB1Hs	protein arginine methyltransferase 5	protein arginine N-methyltransferase 5|72 kDa ICln-binding protein|HMT1 hnRNP methyltransferase-like 5|SKB1 homolog|histone-arginine N-methyltransferase PRMT5|jak-binding protein 1|shk1 kinase-binding protein 1 homolog	14q11.2	14	NC_000014.9	22920529	22929376	minus	18	604045	
9606	Homo sapiens	4914	0	live	NTRK1	MTC, TRK, TRK1, TRKA, Trk-A, p140-TrkA	neurotrophic receptor tyrosine kinase 1	high affinity nerve growth factor receptor|Oncogene TRK|TRK1-transforming tyrosine kinase protein|gp140trk|neurotrophic tyrosine kinase, receptor, type 1|tropomyosin receptor kinase A|tropomyosin-related kinase A|tyrosine kinase receptor A	1q23.1	1	NC_000001.11	156815750	156881850	plus	19	191315	
9606	Homo sapiens	3572	0	live	IL6ST	CD130, CDW130, GP130, HIES4, HIES4A, HIES4B, IL-6RB, IMD94, STWS2, sGP130	interleukin 6 cytokine family signal transducer	interleukin-6 receptor subunit beta|CD130 antigen|IL-6 receptor subunit beta|IL-6R subunit beta|gp130 of the rheumatoid arthritis antigenic peptide-bearing soluble form|gp130, oncostatin M receptor|interleukin receptor beta chain|interleukin-6 signal transducer|membrane glycoprotein 130|membrane glycoprotein gp130|oncostatin-M receptor subunit alpha	5q11.2	5	NC_000005.10	55935095	55994963	minus	19	600694	
9606	Homo sapiens	5579	0	live	PRKCB	PKC-beta, PKCB, PKCI(2), PKCbeta1, PRKCB2, PRKCB	protein kinase C beta	protein kinase C beta type|PKC-B|protein kinase C, beta 1 polypeptide	16p12.2-p12.1	16	NC_000016.10	23835983	24220611	plus	18	176970	
9606	Homo sapiens	100422492	0	live	LOC100422492		amyloid beta precursor protein binding family A member 2 pseudogene	amyloid beta (A4) precursor protein-binding, family A, member 2 pseudogene	15q14	15	NC_000015.10	34555776	34556872	plus	0		
9606	Homo sapiens	100422491	0	live	LOC100422491		amyloid beta precursor protein binding family A member 2 pseudogene	amyloid beta (A4) precursor protein-binding, family A, member 2 pseudogene	15q14	15	NC_000015.10	34409554	34410650	plus	0		
9606	Homo sapiens	10399	0	live	RACK1	GNB2L1, Gnb2-rs1, H12.3, HLC-7, PIG21	receptor for activated C kinase 1	small ribosomal subunit protein RACK1|cell proliferation-inducing gene 21 protein|guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1|guanine nucleotide binding protein beta polypeptide 2-like 1|guanine nucleotide-binding protein subunit beta-2-like 1|guanine nucleotide-binding protein subunit beta-like protein 12.3|human lung cancer oncogene 7 protein|lung cancer oncogene 7|proliferation-inducing gene 21|protein homologous to chicken B complex protein, guanine nucleotide binding|receptor of activated protein C kinase 1|receptor of activated protein kinase C 1	5q35.3	5	NC_000005.10	181236897	181243906	minus	8	176981	
9606	Homo sapiens	6653	0	live	SORL1	C11orf32, LR11, LRP9, SORLA, SorLA-1, gp250	sortilin related receptor 1	sortilin-related receptor|LDLR relative with 11 ligand-binding repeats|low-density lipoprotein receptor relative with 11 ligand-binding repeats|mosaic protein LR11|sortilin-related receptor, L(DLR class) A repeats containing|sorting protein-related receptor containing LDLR class A repeats	11q24.1	11	NC_000011.10	121452314	121633763	plus	48	602005	
9606	Homo sapiens	7942	0	live	TFEB	ALPHATFEB, BHLHE35, TCFEB	transcription factor EB	transcription factor EB|T-cell transcription factor EB|class E basic helix-loop-helix protein 35	6p21.1	6	NC_000006.12	41683978	41736223	minus	15	600744	
9606	Homo sapiens	6768	0	live	ST14	ARCI11, CAP3, HAI, MT-SP1, MTSP1, PRSS14, SNC19, TADG15, TMPRSS14	ST14 transmembrane serine protease matriptase	suppressor of tumorigenicity 14 protein|channel-activating protein 3|membrane-type serine protease 1|prostamin|serine protease 14|serine protease TADG-15|suppression of tumorigenicity 14 (colon carcinoma)|suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)|tumor associated differentially expressed gene 15 protein	11q24.3	11	NC_000011.10	130159782	130210362	plus	19	606797	
9606	Homo sapiens	7443	0	live	VRK1	HMNR10, PCH1, PCH1A	VRK serine/threonine kinase 1	serine/threonine-protein kinase VRK1|vaccinia related kinase 1|vaccinia virus B1R-related kinase 1	14q32.2	14	NC_000014.9	96797382	96881609	plus	15	602168	
9606	Homo sapiens	51454	0	live	GULP1	CED-6, CED6, GULP	GULP PTB domain containing engulfment adaptor 1	PTB domain-containing engulfment adapter protein 1|GULP, engulfment adaptor PTB domain containing 1|PTB domain adapter protein CED-6|PTB domain adaptor protein CED-6|cell death protein 6 homolog|engulfment adapter protein	2q32.1-q32.2	2	NC_000002.12	188291874	188595926	plus	21	608165	
9606	Homo sapiens	3972	0	live	LHB	CGB4, HH23, LSH-B, LSH-beta	luteinizing hormone subunit beta	lutropin subunit beta|interstitial cell stimulating hormone, beta chain|luteinizing hormone beta polypeptide|luteinizing hormone beta subunit|lutropin beta chain	19q13.33	19	NC_000019.10	49015980	49019498	minus	2	152780	
9606	Homo sapiens	9445	0	live	ITM2B	ABRI, BRI, BRI2, BRICD2B, E25B, E3-16, FBD, RDGCA, imBRI2	integral membrane protein 2B	integral membrane protein 2B|ABri/ADan amyloid peptide|BRICHOS domain containing 2B|epididymis secretory sperm binding protein|immature BRI2|transmembrane protein BRI	13q14.2	13	NC_000013.11	48233206	48270357	plus	6	603904	
9606	Homo sapiens	26088	0	live	GGA1		golgi associated, gamma adaptin ear containing, ARF binding protein 1	ADP-ribosylation factor-binding protein GGA1|ADP-ribosylation factor binding protein 1|gamma-adaptin related protein 1|golgi-localized, gamma ear-containing, ARF-binding protein 1	22q13.1	22	NC_000022.11	37608834	37633564	plus	21	606004	
9606	Homo sapiens	23163	0	live	GGA3		golgi associated, gamma adaptin ear containing, ARF binding protein 3	ADP-ribosylation factor-binding protein GGA3|Golgi-localized, gamma ear-containing, ARF-binding protein 3	17q25.1	17	NC_000017.11	75236599	75262363	minus	19	606006	
9606	Homo sapiens	255022	0	live	CALHM1	FAM26C	calcium homeostasis modulator 1	calcium homeostasis modulator protein 1|family with sequence similarity 26, member C	10q24.33	10	NC_000010.11	103453240	103458900	minus	2	612234	
9606	Homo sapiens	2028	0	live	ENPEP	APA, CD249, gp160	glutamyl aminopeptidase	glutamyl aminopeptidase|AP-A|EAP|aminopeptidase A|differentiation antigen gp160	4q25	4	NC_000004.12	110476155	110565285	plus	24	138297	
9606	Homo sapiens	23646	0	live	PLD3	AD19, HU-K4, HUK4, SCA46	phospholipase D family member 3	5'-3' exonuclease PLD3|(S,S)-bis(monoacylglycero)phosphate synthase PLD3|choline phosphatase 3|hindIII K4L homolog|phosphatidylcholine-hydrolyzing phospholipase D3	19q13.2	19	NC_000019.10	40348695	40378485	plus	15	615698	
9606	Homo sapiens	8633	0	live	UNC5C	UNC5H3	unc-5 netrin receptor C	netrin receptor UNC5C|protein unc-5 homolog 3|protein unc-5 homolog C|unc-5 homolog 3|unc-5 homolog C|unc5 (C.elegans homolog) c	4q22.3	4	NC_000004.12	95162504	95548973	minus	20	603610	
9606	Homo sapiens	9039	0	live	UBA3	NAE2, UBE1C, hUBA3	ubiquitin like modifier activating enzyme 3	NEDD8-activating enzyme E1 catalytic subunit|NEDD8-activating enzyme E1 subunit 2|NEDD8-activating enzyme E1C|Nedd8-activating enzyme hUba3|UBA3, ubiquitin-activating enzyme E1 homolog|ubiquitin-activating enzyme 3|ubiquitin-activating enzyme E1C (UBA3 homolog, yeast)|ubiquitin-activating enzyme E1C (homologous to yeast UBA3)	3p14.1	3	NC_000003.12	69054730	69080373	minus	18	603172	
9606	Homo sapiens	55754	0	live	TMEM30A	C6orf67, CDC50A	transmembrane protein 30A	cell cycle control protein 50A|P4-ATPase flippase complex beta subunit TMEM30A	6q14.1	6	NC_000006.12	75252924	75284792	minus	7	611028	
9606	Homo sapiens	54103	0	live	GSAP	PION	gamma-secretase activating protein	gamma-secretase-activating protein|pigeon homolog|protein pigeon homolog	7q11.23	7	NC_000007.14	77310751	77416630	minus	37	613552	
9606	Homo sapiens	100126296	0	live	MIR298	MIRN298, hsa-mir-298	microRNA 298		20q13.32	20	NC_000020.11	58818226	58818313	minus	1	614914	
9606	Homo sapiens	108175350	0	live	LOC108175350		9q21.12 distal LINE-mediated recombination region		9q21.12	9	NC_000009.12	69506052	69512070	plus	0		
9606	Homo sapiens	108175349	0	live	LOC108175349		9q21.12 proximal LINE-mediated recombination region		9q21.12	9	NC_000009.12	69477111	69483129	plus	0		
1397361	Sporothrix schenckii 1099-18	27663767	0	live	SPSK_01581	SPSK_01581	amyloid beta precursor protein binding protein 1	amyloid beta precursor protein binding protein 1		Unknown							
76775	Malassezia restricta	38739692	0	live	MRET_2926	MRET_2926	amyloid beta precursor protein binding protein 1	amyloid beta precursor protein binding protein 1		V	NC_040197.1	151824	153425	minus	1		
11676	Human immunodeficiency virus 1	155971	0	live	env	HIV1gp8	Envelope surface glycoprotein gp160, precursor	Envelope surface glycoprotein gp160, precursor|Envelope surface glycoprotein gp120|Envelope transmembrane domain|hypothetical protein			NC_001802.1	5771	8341	plus	0		
330879	Aspergillus fumigatus Af293	3508253	0	live	ulaA	AFUA_6G10600, Afu6g10600	NEDD8-activating enzyme E1 regulatory subunit	NEDD8-activating enzyme E1 regulatory subunit		6	NC_007199.1	2623379	2625115	minus	2		 
